"categoria","texto","iteracao","seed_sorteio"
"AtividadeDETRAN","EXTRATO DE EDITAL DA NOTIFICAÇÃO DE PENALIDADE DE MULTA Nº 001234/2025 O DEPARTAMENTO DE EDIFICAÇÕES E DE RODOVIAS DO ESTADO DO ESPÍRITO SANTO - DER-ES, com fulcro no artigo 282 do Código de Trânsito Brasileiro - CTB, bem como na Resolução nº 918/2022 do Conselho Nacional de Trânsito - CONTRAN, após esgotadas as tentativas de ciência por meio de notificação via remessa postal, vem notificar os proprietários e detentores dos veículos pelo cometimento de infrações de trânsito, concedendo-lhes o prazo de 30 (trinta) dias, contados a partir desta publicação para interporem "" Recurso "" em 1ª instância. O recurso deverá ser apresentado com os documentos previstos no artigo 5º da Resolução do CONTRAN nº 900/2022. O formulário para recurso encontra-se no endereço https://der.es.gov.br/InfracaoMulta. O recurso poderá ser entregue diretamente no DER-ES ou enviado através de correspondência para o seguinte endereço: Avenida Marechal Mascarenhas de Moraes, 1.501, Ilha de Santa Maria, Vitória, ES, CEP: 29.051-015. O Edital de Notificação de Penalidade de Multa, contendo a relação dos veículos, placa, nº do auto de infração, data da infração, código da infração com desdobramento e valor da multa está disponibilizado no endereço https://der.es.gov.br/notificacao-de-transito-por-edital. JOSÉ EUSTÁQUIO DE FREITAS Diretor-geral do DER-ES","37","1972"
"AtividadeDETRAN","EDITAL DE APLICAÇÃO DE PENALIDADE POR INFRAÇÃO DE TRÂNSITO Nº 031/2025, SUSPENSÃO DO DIREITO DE DIRIGIR POR PONTUAÇÃO Nº 032/2025, CANCELAMENTO DA PERMISSÃO DO DIREITO DE DIRIGIR Nº 033/2025. O Diretor Geral do DETRAN-ES, no uso das atribuições legais que lhe foram conferidas pela Lei Estadual 1.678/94, e em conformidade com o disposto nos artigos 256, 263 e 265 da Lei Federal 9.503/97 (Código de Trânsito Brasileiro), c/c Resolução nº 723/18/CONTRAN, após esgotadas as tentativas de ciência por meio de notificação via remessa postal, vem notificar os condutores da aplicação de penalidade. A relação dos processos administrativos e nome dos condutores consta na íntegra nos referidos editais disponíveis no endereço www.detran.es.gov.br, a partir das 15h. Poderá interpor defesa (escrita e assinada pela parte interessada, com cópia de documento de identificação civil que comprove a assinatura) perante a JARI do DETRAN/ES, no prazo de 45 (quarenta e cinco) dias, contados da Publicação deste Edital, encaminhando-a pelos Correios para a Av. Fernando Ferrari, 1080, Ed. Centro Empresarial América - Torre Sul, Mata da Praia, Vitória-ES, CEP 29066-920; entregando-a pessoalmente em qualquer CIRETRAN do Estado do Espírito Santo, ou online no endereço eletrônico: https://renach2.es.gov.br/penalidade/publico/pub_interposicao_recurso_pa_digital.aspx. Vitória, 15 de maio de 2025. Givaldo Vieira da Silva DIRETOR GERAL DO DETRAN-ES","38","1973"
"AtividadeDETRAN","EDITAL DE NOTIFICAÇÃO DAS DECISÕES DA JUNTA ADMINISTRATIVA DE RECURSOS DE INFRAÇÕES - JARI - REFERENTES AOS RECURSOS DAS PENALIDADES POR INFRAÇÃO DE TRÂNSITO Nº 07/2025, DE 10 DE MARÇO DE 2025. O DEPARTAMENTO ESTADUAL DE TRÂNSITO - DETRAN / ES , com fulcro nos artigos 281, 282, 285 e 288 do Código de Trânsito Brasileiro - CTB, bem como, nas Resoluções 903 e 925 do Conselho Nacional de Trânsito - CONTRAN, após esgotadas as tentativas de ciência por meio de notificação via remessa postal, vem notificar das decisões da JARI relacionadas aos recursos decorrentes da imposição de penalidade os proprietários e detentores dos veículos pelo cometimento de Infrações de Trânsito, concedendo-lhes o prazo de 30 (trinta) dias para interporem Recurso ao CETRAN , contados a partir desta publicação. A relação dos veículos contendo placa, nº do processo cujo recurso fora analisado e o resultado do julgamento consta na íntegra dos referidos editais disponibilizados no endereço www.detran.es.gov.br, a partir das 16h. O recurso ao CETRAN deverá ser instruído com: requerimento preenchido e assinado, cópia desta Notificação de Penalidade (cópia do edital publicado) , cópia da CNH do condutor, cópia do CRLV do veículo, cópia da Carteira de Identidade do proprietário/detentor e condutor, procuração ou autorização quando o requerente não for o proprietário, contrato social da empresa (apenas para pessoa jurídica), procuração do sócio proprietário da empresa quando o requerente não for o proprietário (apenas para pessoa jurídica). As cópias reprográficas dos documentos de identificação civil apresentadas serão consideradas para comprovação de assinatura. O recurso poderá ser entregue online no endereço eletrônico: www.detran.es.gov.br/recurso-de-multa-online, diretamente nas Ciretrans ou enviado através de correspondência com aviso de recebimento, para o seguinte endereço: Av. Fernando Ferrari, 1080, Ed. Centro Empresarial América - Torre Sul, Mata da Praia, Vitória-ES, CEP 29066-920. Vitória, 10 de março de 2025. Givaldo Vieira da Silva DIRETOR GERAL DO DETRAN-ES","39","1974"
"AtividadeDETRAN","EXTRATO DE EDITAL DA NOTIFICAÇÃO DE AUTUAÇÃO POR INFRAÇÃO DE TRÂNSITO Nº 01234/2025  
O DEPARTAMENTO ESTADUAL DE TRÂNSITO - DETRAN / ES, com fulcro nos artigos 281 e 282 do Código de Trânsito Brasileiro - CTB, bem como, na Resolução nº 918/2023 do Conselho Nacional de Trânsito - CONTRAN, após esgotadas as tentativas de ciência por meio de notificação via remessa postal, vem notificar os proprietários e detentores dos veículos pelo cometimento de infrações de trânsito, concedendo-lhes o prazo de 30 (trinta) dias para interporem ""Defesa"" e ainda o prazo de 15 (quinze) dias para indicar o condutor responsável pela infração junto ao DETRAN-ES, contados a partir desta publicação. A relação dos veículos contendo placa, nº do auto de infração, data da infração, código da infração com desdobramento e valor da multa consta na íntegra no referido edital disponível no endereço eletrônico www.detran.es.gov.br/notificacao-transito. A defesa deverá ser instruída com: requerimento preenchido e assinado, cópia desta Notificação de Autuação (cópia do edital publicado), cópia da CNH do condutor, cópia do CRLV do veículo, cópia da Carteira de Identidade do proprietário/detentor e condutor. A indicação de condutor deverá ser instruída com: cópia desta notificação de autuação (cópia do edital publicado), cópia da CNH do proprietário do veículo, cópia do CRLV do veículo, declaração de indicação de real condutor, cópia da CNH do real condutor e endereço completo do real condutor. As cópias reprográficas dos documentos de identificação civil apresentadas tanto na Defesa quanto na Indicação de Condutor serão consideradas para comprovação de assinatura. A defesa poderá ser entregue diretamente nas Ciretrans, enviada através de correspondência aviso de recebimento, ou encaminhada online pelo site www.detran.es.gov.br/recurso-de-multa-online. Endereço para envio: Av. Fernando Ferrari, 1080, Edifício Centro Empresarial América - Torre Sul, Mata da Praia, Vitória-ES, CEP 29066-920.  
Vitória, 05 de maio de 2025.
Givaldo Vieira da Silva  
DIRETOR GERAL DO DETRAN-ES","40","1975"
"AtividadeDETRAN","EDITAL DE INSTAURAÇÃO DE PROCEDIMENTO ADMINISTRATIVO DE CASSAÇÃO DA CARTEIRA NACIONAL DE HABILITAÇÃO Nº 015/2025, SUSPENSÃO DO DIREITO DE DIRIGIR POR INFRAÇÃO Nº 016/2025. O Diretor Geral do DETRAN-ES, no exercício das atribuições legais conferidas pela Lei Estadual 8.745/1989 e em conformidade com os artigos 263 e 265 da Lei Federal 9.503/97 (Código de Trânsito Brasileiro), após esgotadas as tentativas de notificação via remessa postal, resolve notificar o condutor abaixo relacionado, cujo processo administrativo encontra-se instaurado e os detalhes completos estão disponíveis no endereço www.detran.es.gov.br. O interessado poderá interpor recurso escrito (assinado pelo próprio interessado e acompanhado de cópia de documento de identificação civil que comprove a assinatura) junto ao DETRAN-ES, no prazo de 30 dias, contados da publicação deste Edital, enviando-o pelos Correios para o seguinte endereço: Av. Fernando Ferrari,1080, Ed. América Centro Empresarial - Torre Sul, Mata da Praia Vitória-ES, CEP 29066-920; entregando pessoalmente em qualquer CIRETRAN do Espírito Santo ou online no site https://renach2.es.gov.br/penalidade/publico/pub_interposicao_recurso_pa_digital.aspx. Vitória, 18 de março de 2025. Givaldo Vieira da Silva DIRETOR GERAL DO DETRAN-ES","41","1976"
"AtividadeDETRAN","INSTRUÇÃO DE SERVIÇO N° 014/2023 - GERHAB/DHV/DIRETRAN/ES

Art. 1º A presente Instrução de Serviço dispõe sobre as diretrizes e normas aplicáveis ao Programa Carteira Nacional de Habilitação Social (CNHSocial), instituído pela Resolução nº 856/2023 do CONTRAN.

Art. 2º São objetivos da presente Instrução:
I - estabelecer critérios para a inscrição e participação no Programa CNHSocial;
II - definir os direitos e deveres dos candidatos contemplados pelo programa;
III - detalhar as atribuições das empresas credenciadas.

Art. 3º Para participar do CNHSocial, o interessado deve preencher requisitos estabelecidos no Edital nº 01/2023-GIVAS/DHV e atender aos seguintes critérios:
I - estar inscrito no Cadastro Único;
II - comprovadamente residir em território capixaba há pelo menos 06 (seis) meses;
III - ter renda familiar per capita inferior a R$ 1.097,00.

Art. 4º O processo de habilitação CNHSocial será realizado de forma gratuita para os candidatos beneficiados.

Parágrafo único. As empresas credenciadas que aderirem ao programa não poderão cobrar quaisquer valores dos candidatos contemplados, sob pena de desligamento do mesmo.

Art. 5º O candidato habilitado tem direito a 03 (três) reprovações no exame teórico ou prático, sendo que a primeira reprovação prática lhe dá direito a duas aulas extras e um reteste.

Parágrafo único. Em caso de falta à prova ou àula, o candidato deverá arcar com as despesas da atividade faltosa, não sendo contemplado pela CNHSocial.

Art. 6º A mudança para outro Centro de Formação de Condutores só será permitida após a emissão do certificado do curso teórico ou na modalidade EaD.

Parágrafo único. O desligamento da empresa credenciada do programa implica direcionamento dos candidatos vinculados para outra empresa, observado critério equitativo.

Art. 7º Não será permitida a transferência de processo de habilitação para outro Estado da Federação sob pena de perda do benefício e cancelamento das providências administrativas em andamento.

Art. 8º O candidato é responsável pela veracidade dos dados fornecidos, respondendo administrativa, civil e criminalmente por eventuais falsidades.

Art. 9º Os casos omissos serão analisados pela Gerência de Habilitação (GERHAB), podendo ser recurridos ao Diretor de Habilitação e Veículos do DETRAN|ES.

Art. 10º Esta Instrução entra em vigor na data de sua publicação, revogadas as disposições em contrário.

Vitória/ES, 25 de outubro de 2023.
MARIA APARECIDA DA SILVA
Diretora-Geral do DETRAN|ES","42","1977"
"AtividadeDETRAN","EDITAL DE NOTIFICAÇÃO DAS DECISÕES DA JUNTA ADMINISTRATIVA DE RECURSOS DE INFRAÇÕES - JARI - REFERENTES AOS RECURSOS DAS PENALIDADES POR INFRAÇÃO DE TRÂNSITO Nº 03/2026, DE 15 DE MAIO DE 2026. O DEPARTAMENTO ESTADUAL DE TRÂNSITO - DETRAN / ES , com fulcro nos artigos 281, 282, 285 e 288 do Código de Trânsito Brasileiro - CTB, bem como, nas Resoluções 900 e 918 do Conselho Nacional de Trânsito - CONTRAN, após esgotadas as tentativas de ciência por meio de notificação via remessa postal, vem notificar das decisões da JARI relacionados aos recursos decorrentes da imposição de penalidade os proprietários e detentores dos veículos pelo cometimento de Infrações de Trânsito, concedendo-lhes o prazo de 30 (trinta) dias para interporem Recurso ao CETRAN , contados a partir desta publicação. A relação dos veículos contendo placa, nº do processo cujo recurso fora analisado e o resultado do julgamento consta na íntegra dos referidos editais disponibilizados no endereço www.detran.es.gov.br, a partir das 15h. O recurso ao CETRAN deverá ser instruído com: requerimento preenchido e assinado, cópia desta Notificação de Penalidade (cópia do edital publicado) , cópia da CNH do condutor, cópia do CRLV do veículo, cópia da Carteira de Identidade do proprietário/detentor e condutor, procuração ou autorização quando o requerente não for o proprietário, contrato social da empresa (apenas para pessoa jurídica), procuração do sócio proprietário da empresa quando o requerente não for o proprietário (apenas para pessoa jurídica). As cópias reprográficas dos documentos de identificação civil apresentadas serão consideradas para comprovação de assinatura. O recurso poderá ser entregue online no endereço eletrônico: www.detran.es.gov.br/recurso-de-multa-online, diretamente nas Ciretrans ou enviado através de correspondência com aviso de recebimento, para o seguinte endereço: Av. Fernando Ferrari, 1080, Ed. Centro Empresarial América - Torre Sul, Mata da Praia, Vitória-ES, CEP 29066-920. Vitória, 15 de maio de 2026. Givaldo Vieira da Silva DIRETOR GERAL DO DETRAN-ES","43","1978"
"AtividadeDETRAN","EDITAL DE NOTIFICAÇÃO DE PENALIDADE DE MULTA Nº 02734/2025  
O DEPARTAMENTO ESTADUAL DE TRÂNSITO DO ESPÍRITO SANTO - DETRAN-ES, com fulcro nos artigos 281 e 282 do Código de Trânsito Brasileiro - CTB, bem como na Resolução nº 927/2023 do Conselho Nacional de Trânsito - CONTRAN, após esgotadas as tentativas de ciência por meio de notificação via remessa postal, vem notificar os proprietários e detentores dos veículos abaixo relacionados pelo cometimento de infrações de trânsito, concedendo-lhes o prazo de 30 (trinta) dias, contados a partir desta publicação, para que interponham ""Defesa"" em primeira instância. O recurso deverá ser apresentado com os documentos previstos no artigo 5º da Resolução do CONTRAN nº 927/2023 e no Edital de Notificação de Penalidade de Multa. O formulário para recurso encontra-se disponível em https://detrans.es.gov.br/recurso-de-multa/. O recurso poderá ser entregue diretamente nas Ciretrans ou enviado através de correspondência com aviso de recebimento, conforme endereço abaixo: Av. Nossa Senhora da Penha, 1234 - Praia do Canto, Vitória-ES, CEP: 29056-789.

A relação dos veículos notificados contendo placa, nº do auto de infração, data da infração, código da infração com desdobramento e valor da multa está disponível no endereço https://detrans.es.gov.br/notificacao-de-multa/edital. 

Vitória, 15 de abril de 2025.

LUIZ FERNANDO SANTOS  
DIRETOR-GERAL DO DETRAN-ES","44","1979"
"AtividadeDETRAN","EXTRATO DO EDITAL DA NOTIFICAÇÃO DE AUTUAÇÃO POR INFRAÇÃO DE TRÂNSITO Nº 001234/2025  
O DEPARTAMENTO DE EDIFICAÇÕES E DE RODOVIAS DO ESTADO DO ESPÍRITO SANTO - DER - ES , com fulcro no artigo 281 do Código de Trânsito Brasileiro - CTB, bem como, na Resolução nº 918/2022 do Conselho Nacional de Trânsito - CONTRAN, após esgotadas as tentativas de ciência por meio de notificação via remessa postal, vem notificar os proprietários e detentores dos veículos pelo cometimento de infrações de trânsito, concedendo-lhes o prazo de 30 (trinta) dias, contados a partir desta publicação para interporem "" Defesa Prévia "". A defesa prévia deverá ser apresentada com os documentos previstos no artigo 5º da Resolução do CONTRAN nº 900/2022. O formulário para Defesa Prévia encontra-se no endereço https://der.es.gov.br/InfracaoMulta. A Defesa Prévia poderá ser entregue diretamente no DER-ES ou enviada através de correspondência para o seguinte endereço: Avenida Marechal Mascarenhas de Moraes, 1501, Ilha de Santa Maria, Vitória, ES, CEP: 29051-015. O Edital de Notificação de Autuação por infração de trânsito contendo a relação dos veículos, placa, nº do auto de infração, data da infração, código da infração com desdobramento e valor da multa está disponibilizado no endereço https://der.es.gov.br/notificacao-de-transito-por-edital.  
JOSÉ EUSTÁQUIO DE FREITAS
Diretor-geral do DER-ES","45","1980"
"AtividadeDETRAN","EDITAL DE NOTIFICAÇÃO DE INFRAÇÃO DE TRÂNSITO Nº 038/2025 – O DEPARTAMENTO ESTADUAL DE TRÂNSITO DO ESPÍRITO SANTO - DETRAN-ES, na forma do Art. 69 da IN Nº 196 do DETRAN / ES, publicada em 23/09/2019, alterada pela IN N 126/2020, no uso de suas atribuições legais e com base na Resolução nº 857/2014 do CONTRAN, resolve notificar o condutor identificado abaixo para que apresente a defesa escrita em prazo de 10 (dez) dias corridos, contados da data desta publicação, nos termos do Art. 71 da IN Nº 196/ES.

CONDUTOR: MARIA SILVA  
NÚMERO DO PROCESSO ADMINISTRATIVO: 2025-CB38T

A notificação decorre de infração cometida no dia 15/04/2025, cujo código é 130 e a penalidade aplicada consiste em multa no valor de R$ 293,47. O condutor poderá interpor recurso administrativo na forma prevista pelo artigo 292 do CTB.

O referido edital está disponível para consulta no site www.detran.es.gov.br e o protocolo da defesa pode ser realizado via E-Docs. Para mais informações ou orientações adicionais, entrar em contato com a sede do DETRAN-ES através dos telefones (27) 3145-8000 / (27) 3145-9060.

Vitória, 22 de abril de 2025.  
HENRIQUE CARVALHO GORZA  
Corregedor do DETRAN | ES","46","1981"
"AtividadeDETRAN","EXTRATO DO EDITAL DA NOTIFICAÇÃO DE PENALIDADE DE MULTA Nº 001234/2025 O DEPARTAMENTO DE EDIFICAÇÕES E DE RODOVIAS DO ESTADO DO ESPÍRITO SANTO - DER - ES, com fulcro no artigo 282 do Código de Trânsito Brasileiro - CTB, bem como, na Resolução nº 918/2022 do Conselho Nacional de Trânsito - CONTRAN, após esgotadas as tentativas de ciência por meio de notificação via remessa postal, vem notificar os proprietários e detentores dos veículos pelo cometimento de infrações de trânsito, concedendo-lhes o prazo de 30 (trinta) dias, contados a partir desta publicação para interporem "" Recurso "" em 1ª instância. O recurso deverá ser apresentado com os documentos previstos no artigo 5º da Resolução do CONTRAN nº 900/2022. O formulário para recurso encontra-se no endereço https://der.es.gov.br/InfracaoMulta. O recurso poderá ser entregue diretamente no DER-ES ou enviado através de correspondência para o seguinte endereço: Avenida Marechal Mascarenhas de Moraes, 1.501, Ilha de Santa Maria, Vitória, ES, CEP: 29.051-015. O Edital de Notificação de Penalidade de Multa, contendo a relação dos veículos, placa, nº do auto de infração, data da infração, código da infração com desdobramento e valor da multa está disponibilizado no endereço https://der.es.gov.br/notificacao-de-transito-por-edital. JOSÉ EUSTÁQUIO DE FREITAS Diretor-geral do DER-ES","47","1982"
"AtividadeDETRAN","EXTRATO DO EDITAL DE NOTIFICAÇÃO DE AUTUAÇÃO POR INFRAÇÃO DE TRÂNSITO Nº 012345/2026  
O INSTITUTO DE TRÂNSITO E TRANSPORTE DO ESTADO DO ESPÍRITO SANTO - ITRAN-ES , com fulcro no artigo 281 do Código de Trânsito Brasileiro - CTB, bem como, na Resolução nº 923/2025 do Conselho Nacional de Trânsito - CONTRAN, após esgotadas as tentativas de ciência por meio de notificação via remessa postal, vem notificar os proprietários e detentores dos veículos pelo cometimento de infrações de trânsito, concedendo-lhes o prazo de 30 (trinta) dias para interporem "" Defesa Prévia "", contados a partir desta publicação. A defesa prévia deverá ser apresentada com os documentos previstos no artigo 5º da Resolução do CONTRAN nº 921/2025. O formulário para Defesa Prévia encontra-se no endereço https://itrans.es.gov.br/defesaprevia. A defesa poderá ser entregue diretamente no ITRAN-ES ou enviada através de correspondência com aviso de recebimento, para o seguinte endereço: Rua Engenheiro Agrícola, 105, Enseada do Suá, Vitória, ES, CEP: 29.106-480. O Edital de Notificação de Autuação por Infração de Trânsito contendo a relação dos veículos, placa, nº do auto de infração, data da infração, código da infração com desdobramento e valor da multa está disponível no site: https://itrans.es.gov.br/editalnotificacao. ROBERTO ALMEIDA DA SILVA  
Diretor-geral do ITRAN-ES","48","1983"
"AtividadeDETRAN","EXTRATO DE EDITAL DA NOTIFICAÇÃO DE AUTUAÇÃO POR INFRAÇÃO DE TRANSITO Nº 00145/2025 O DEPARTAMENTO DE EDIFICAÇÕES E DE RODOVIAS DO ESTADO DO ESPÍRITO SANTO - DER-ES, com fulcro no artigo 281 do Código de Trânsito Brasileiro - CTB, bem como, na Resolução nº 918/2022 do Conselho Nacional de Trânsito - CONTRAN, após esgotadas as tentativas de ciência por meio de notificação via remessa postal, vem notificar os proprietários e detentores dos veículos pelo cometimento de infrações de trânsito, concedendo-lhes o prazo de 30 (trinta) dias, contados a partir desta publicação, para interporem ""Defesa Prévia"". A defesa prévia deverá ser apresentada com os documentos previstos no artigo 5º da Resolução do CONTRAN nº 900/2022. O formulário para Defesa Prévia encontra-se no endereço https://der.es.gov.br/InfracaoMulta . A Defesa Prévia poderá ser entregue diretamente no DER-ES ou enviada através de correspondência para o seguinte endereço: Rua Presidente Vargas, 1234, Centro, Vitória, ES, CEP: 29.056-876. O Edital de Notificação de Autuação por infração de trânsito contendo a relação dos veículos, placa, nº do auto de infração, data da infração, código da infração com desdobramento está disponibilizado no endereço https://der.es.gov.br/notificacao-de-transito-por-edital. JOSÉ EUSTÁQUIO DE FREITAS Diretor-geral do DER-ES","49","1984"
"AtividadeDETRAN","EDITAL DE NOTIFICAÇÃO DETRAN-ES Nº 15, 27 DE MAIO DE 2025.

O CORREGEDOR DO DEPARTAMENTO ESTADUAL DE TRÂNSITO DO ESTADO DO ESPÍRITO SANTO no exercício de suas atribuições legais e na forma do Art. 69 da IS N nº 196 do DETRAN / ES , publicada em 23/09/2019, alterada pela IS N 158/2023.

RESOLVE: NOTIFICAR O CONDUTOR DENIS LIMA OLIVEIRA, portador da CNH nº 476589-1234-S, para que, caso entendam necessário, apresentem DEFESA ESCRITA, no prazo de 10 (DEZ) dias corridos, nos termos do Art. 71, da IS N nº 196 do DETRAN / ES , publicada em 23/09/2019, alterada pela IS N 158/2023, a contar do dia subsequente à esta publicação.

PROCESSO ADMINISTRATIVO: - 2025-CC78L / AUTOMOTIVA VISTORIA VEICULAR LTDA

Informamos que o protocolo da defesa e alegações finais poderá ser realizado via E-Docs ou no endereço físico do DETRAN-ES.

Vitória/ES, 27 de maio de 2025.

HENRIQUE CARVALHO GORZA
Corregedor do DETRAN | ES","50","1985"
"AtividadeDETRAN","EDITAL DE NOTIFICAÇÃO DAS DECISÕES DA JUNTA ADMINISTRATIVA DE RECURSOS DE INFRAÇÕES - JARI - REFERENTES AOS RECURSOS DAS PENALIDADES POR SUSPENSÃO E CASSAÇÃO DO DIREITO DE DIRIGIR Nº 12/2025, DE 15 DE MAIO DE 2025. O DEPARTAMENTO ESTADUAL DE TRÂNSITO - DETRAN / ES , com fulcro nos artigos 263, 274 e 288 do Código de Trânsito Brasileiro - CTB, bem como, na Resolução nº 719 e sucedâneas do Conselho Nacional de Trânsito - CONTRAN, após esgotadas as tentativas de ciência por meio de notificação via remessa postal, vem notificar aos recorrentes abaixo relacionados das decisões da JARI relativas aos recursos decorrentes da imposição das penalidades de suspensão do direito de dirigir por infração específica e cassação do direito de dirigir, concedendo-lhes o prazo de 30 (trinta) dias para interporem Recurso ao CETRAN , contados a partir desta publicação. A relação contendo nº do processo cujo recurso fora analisado, o CPF e o resultado do julgamento consta na íntegra do referido edital disponibilizado no endereço www.detran.es.gov.br, a partir das 14h. O recurso ao CETRAN deverá ser instruído com: requerimento preenchido e assinado, cópia desta Notificação (cópia do edital publicado) e cópia da CNH do recorrente. As cópias reprográficas dos documentos de identificação civil apresentadas serão consideradas para comprovação de assinatura. O recurso poderá ser entregue online no endereço eletrônico: www.detran.es.gov.br / recurso - de - suspensao - de - cnh , diretamente nas Ciretrans ou enviado através de correspondência com aviso de recebimento, para o seguinte endereço: Av. João Belarmino Vieira, 659, Edifício Centro Empresarial Vitória - Torre Norte, Enseada do Suá, Vila Velha-ES, CEP 29104-230. Vitória, 15 de maio de 2025 Givaldo Vieira da Silva DIRETOR GERAL DO DETRAN-ES","51","1986"
"AtividadeDETRAN","EDITAL DE NOTIFICAÇÃO DETRAN-ES Nº 18, 20 DE MARÇO DE 2025.

O CORREGEDOR DO DEPARTAMENTO ESTADUAL DE TRÂNSITO DO ESTADO DO ESPÍRITO SANTO no exercício de suas atribuições legais e na forma do Art. 69 da IS Nº 196 do DETRAN/ES, publicada em 23/09/2019 alterada pela IS N 126/2020.

RESOLVE: NOTIFICAR O AGENTE CREDENCIADO ABAIXO RELACIONADO, para que, caso entenda necessário, apresente DEFESA ESCRITA, no prazo de 10 (DEZ) dias corridos, nos termos do Art. 71, da IS Nº 196 do DETRAN/ES, publicada em 23/09/2019, alterada pela IS N 126/2020, a contar do dia subsequente à esta publicação.

PROCESSO ADMINISTRATIVO / AGENTE CREDENCIADO: - 2024-H5K87 / ECV VESTRO AUTOVISTAS

Informamos que o protocolo da defesa e das alegações finais poderá ser realizado via E-Docs Vitória/ES, 20 de março de 2025.

HENRIQUE CARVALHO GORZA
Corregedor do DETRAN | ES","52","1987"
"AtividadeDETRAN","EXTRATO DE EDITAL DA NOTIFICAÇÃO DE AUTUAÇÃO POR INFRAÇÃO DE TRANSITO Nº 00457/2026  
O DEPARTAMENTO DE EDIFICAÇÕES E DE RODOVIAS DO ESTADO DO ESPÍRITO SANTO - DER - ES, com fulcro no artigo 281 do Código de Trânsito Brasileiro - CTB, bem como, na Resolução nº 930/2025 do Conselho Nacional de Trânsito - CONTRAN, após esgotadas as tentativas de ciência por meio de notificação via remessa postal, vem notificar os proprietários e detentores dos veículos do cometimento de infrações de trânsito, concedendo-lhes o prazo de 30 (trinta) dias, contados a partir desta publicação, para interporem ""Defesa Prévia"". A defesa prévia deverá ser apresentada com os documentos previstos no artigo 5º da Resolução do CONTRAN nº 918/2022. O formulário para Defesa Prévia encontra-se no endereço https://der.es.gov.br/infracaomulta. A Defesa Prévia poderá ser entregue diretamente no DER-ES ou enviada através de correspondência para o seguinte endereço: Rua Celso Castro, 1234 - Edifício Administrativo, Praia da Costa, Vitória, ES, CEP: 29.075-100. O Edital de Notificação de Autuação por infração de trânsito contendo a relação dos veículos, placa, nº do auto de infração, data da infração, código da infração com desdobramento está disponibilizado no endereço https://der.es.gov.br/notificacao-transito-por-edital.  
JOSÉ EUSTÁQUIO DE FREITAS  
Diretor-geral do DER-ES","53","1988"
"AtividadeDETRAN","EDITAL DE NOTIFICAÇÃO DE SUSPENSÃO DO DIREITO DE DIRIGIR POR INFRAÇÃO E MULTA Nº 0042/2025

O Diretor Geral do DETRAN-ES, no uso das atribuições legais que lhe foram conferidas pela Lei Estadual 8.376/19 e em conformidade com o disposto nos artigos 263 e 264 da Lei Federal 9.503/97 (Código de Trânsito Brasileiro), c/c Resolução nº 821/2013 do CONTRAN, após esgotadas as tentativas de ciência por meio de notificação via remessa postal, vem notificar o condutor identificado pelo CPF 123.456.789-01 e CNH 123456789-0 sobre a aplicação de penalidade administrativa consistente em suspensão do direito de dirigir por infração grave, com prazo de 9 (nove) meses, bem como a multa no valor de R$ 822,21. O número do auto de infração é 00423567/2025 e a data da ocorrência foi em 15 de janeiro de 2025.

Poderá interpor recurso (escrito e assinado pela parte interessada, com cópia do documento de identificação civil que comprove a assinatura) perante a JARI do DETRAN/ES, no prazo de 30 (trinta) dias contados da Publicação deste Edital, encaminhando-o pelos Correios para a Av. Pedro Calixto, 1289, Ilha Bela, Vitória-ES, CEP 29075-456; entregando-o pessoalmente em qualquer CIRETRAN do Estado do Espírito Santo, ou online no endereço eletrônico: https://servicos.detran.es.gov.br/interposicao-recurso. 

A relação completa dos processos administrativos e demais detalhes da notificação podem ser acessados em www.detran.es.gov.br, a partir das 15h.

Vitória, 20 de fevereiro de 2025

Geraldo Pereira Barros
DIRETOR GERAL DO DETRAN-ES","54","1989"
